Smoak, Justin,475253,2017,-0.008,-0.036,89.6,
Zimmerman, Ryan,475582,2017,.013,.020,91.4,
Lowrie, Jed,476704,2017,-0.012,-0.032,88.9,
Morrison, Logan,489149,2017,-0.007,.008,88.6,
Gurriel, Yuli,493329,2017,.012,.052,90.1,
Solarte, Yangervis,500208,2017,.014,.041,85.4,
Freese, David,501896,2017,.005,-0.024,88.9,
Davis, Khris,501981,2017,-0.012,-0.045,92.3,
Pham, Tommy,502054,2017,.023,.035,89.6,
Reddick, Josh,502210,2017,.023,.044,87.7,
Murphy, Daniel,502517,2017,.021,.051,89.6,
Goldschmidt, Paul,502671,2017,.014,.004,91.5,
Gonzalez, Marwin,503556,2017,.056,.123,88.7,
Altuve, Jose,514888,2017,.055,.070,86.1,
Hernandez, Cesar,514917,2017,.023,.024,85.8,
Segura, Jean,516416,2017,.028,.022,87.6,
Freeman, Freddie,518692,2017,.015,-0.008,89.7,
LeMahieu, DJ,518934,2017,.006,.005,89.3,
Moreland, Mitch,519048,2017,-0.026,-0.090,89.3,
Moustakas, Mike,519058,2017,.004,.029,87.4,
Rizzo, Anthony,519203,2017,-0.012,-0.015,88.4,
Souza Jr., Steven,519306,2017,.001,.007,88.8,
Stanton, Giancarlo,519317,2017,.006,.042,91.9,
Thames, Eric,519346,2017,.020,.063,88.2,
Galvis, Freddy,520471,2017,.013,.022,86.3,
Garcia, Avisail,541645,2017,.035,-0.006,90.3,
Inciarte, Ender,542255,2017,.040,.059,82.8,
